"","plot","hele_1.2015A","hele_2.2015A","hele_3.2015A","hele_1.2015B","hele_2.2015B","hele_3.2015B","hele_1.2016A","hele_2.2016A","hele_3.2016A","hele_1.2016B","hele_2.2016B","hele_3.2016B","doy.2015A","doy.2015B","doy.2016A","doy.2016B","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","surv_ct15","surv_ct16","totgrass.z","bunchgrass.z","oaks.z","canopy.z","numwood.z","mounds.z","blowouts.z","plotlvl_liatris.z","plotlvl_milkweed.z","litter.z","DY_pre2015","DY_ge2015","DY_pre2014","DY_ge2014","UDY_ge2015","burned_pre2015","harvest_pre2015","type_pre2015","burnGraze_ge2015","harvest_ge2015","type_ge2015","elev_CV.z"
"45",46,"0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,243,NA,242,NA,10.5,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3,3,-1.04152378101205,-0.776175277180263,-0.623002552356223,-0.463513676487746,-1.07571848987053,-0.54209406186269,-0.130188910980824,-0.400048721749566,-0.519633160964472,-0.383842938739973,0,0,0,0,0,0,0,"none",0,0,"none",1.27624121284322
"46",47,"0","0","0","0","0","0","0","0","0","0","0","0",224,257,235,243,0,0,0,0,0,0,0,0,0,0,0,3,6,6,-0.861140254560761,-0.831723968778559,-0.570424737180973,1.65350014561583,0.442057806948488,-0.54209406186269,-0.130188910980824,-0.753440869763608,-0.519633160964472,2.03690493370734,0,0,0,0,0,0,0,"none",0,0,"none",0.473261280039852
"47",48,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",224,NA,234,242,0,0,0,NA,NA,NA,0,0,10.5,0,0,0,3,6,0.641905479594566,1.29745738018414,0.638865011849773,-0.447202258514161,-1.13299306710899,1.07274981646679,-0.130188910980824,-0.557105985121469,-0.519633160964472,-0.808535548790641,1,0,1,0,0,0,0,"pines planted",0,0,"none",0.830128962242576
"48",49,"3","0","1","3","0","2","0","0","0","1","0","0",224,232,235,236,20,0,3,20,0,10.5,20,0,3,20,10.5,3,6,6,-1.08661966262487,-0.831723968778559,-0.623002552356223,1.3897410464685,0.814342558998437,-0.54209406186269,-0.130188910980824,0.814022495690559,-0.519633160964472,0.667271269033202,0,0,0,0,0,0,0,"none",0,0,"none",-0.73494032059383
"49",50,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",226,NA,235,236,0,0,0,NA,NA,NA,3,3,0,10.5,0,0,3,6,-0.635660846496655,-0.276237052795596,-0.675580367531473,0.987161368822575,-0.245237119912955,-0.54209406186269,-0.130188910980824,-0.440869772581911,0.727486425350261,0.508011540582721,0,0,0,0,0,0,0,"none",0,0,"none",0.0650781822361958
"50",51,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",225,NA,234,242,0,3,0,NA,NA,NA,0,0,0,3,20,0,3,6,-1.08661966262487,-0.831723968778559,-0.675580367531473,1.38280001754357,1.38708833138297,-0.54209406186269,-0.130188910980824,-0.25682910272761,-0.519633160964472,1.39986601990541,0,0,0,0,0,0,0,"none",0,0,"none",-0.256159658199116
"51",52,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",223,NA,236,244,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,-0.996427899399224,-0.831723968778559,-0.675580367531473,0.862222848173839,1.47300019724065,-0.54209406186269,-0.130188910980824,-0.760519357065696,-0.519633160964472,0.922086834553971,0,1,0,1,0,0,0,"none",0,1,"harvest",0.424302591560904
"52",53,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",223,NA,234,244,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,-1.08661966262487,-0.831723968778559,-0.675580367531473,1.48170967972382,0.0124984776600864,-0.54209406186269,-0.130188910980824,-0.760519357065696,-0.519633160964472,0.0939362466114702,0,0,0,0,0,0,0,"none",0,0,"none",2.13052802382003
"53",54,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",223,NA,229,235,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,-0.0719623263363916,-0.831723968778559,-0.675580367531473,0.765048443224822,-0.245237119912955,-0.54209406186269,-0.130188910980824,-0.760519357065696,-0.103926632192894,-0.192731264599396,0,1,0,1,0,0,0,"none",0,1,"harvest",0.724341631851362
"54",55,"6","0","0","1","0","0","0","0","0","1","0","0",223,235,233,238,20,0,3,20,20,3,20,20,3,20,20,10.5,6,6,-0.466551290448576,-0.831723968778559,-0.570424737180973,0.383291852353685,-0.903894758155171,-0.0600511131076228,-0.130188910980824,1.40014232290141,0.519633160964472,-0.351990993049877,0,1,0,1,0,0,0,"none",0,1,"harvest",0.653375679599836
"55",56,"0","0","0","0","0","0","0","0","0","0","0","0",228,235,229,246,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-1.08661966262487,-0.831723968778559,-0.675580367531473,0.889986963873558,2.47530529891359,-0.54209406186269,-0.130188910980824,-0.798147105355746,-0.519633160964472,1.14505045438464,0,0,0,0,0,0,0,"none",0,0,"none",0.208352177507879
"56",57,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",228,NA,235,237,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,-0.861140254560761,-0.831723968778559,-0.623002552356223,1.02186651344722,-0.0590947438879806,-0.54209406186269,-0.130188910980824,-0.760519357065696,-0.519633160964472,-0.383842938739973,0,0,0,0,0,0,0,"none",0,0,"none",1.14003886640531
"57",58,"0","0","0","0","0","0","0","0","0","0","0","0",226,237,236,242,10.5,3,0,0,3,0,0,20,0,0,0,0,6,6,-0.184702030368444,-0.776175277180263,-0.623002552356223,1.50773853819231,0.442057806948488,-0.54209406186269,-0.130188910980824,-0.254221238984735,-0.519633160964472,0.189492083681759,0,0,0,0,0,0,0,"none",0,0,"none",1.02800590105417
"58",59,"0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,226,NA,245,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3,3,-0.274893793594086,-0.387334435992189,-0.465269106830473,0.369409794503826,0.642518827283076,-0.54209406186269,-0.130188910980824,-0.690639253098462,-0.519633160964472,-0.479398775810261,0,0,0,0,0,0,0,"none",0,0,"none",1.41138471899154
"59",60,"0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,224,NA,246,NA,10.5,0,0,NA,NA,NA,3,3,3,NA,NA,NA,3,3,-0.00431850391715996,0.501444629580553,-0.570424737180973,-0.595393226061412,0.127047632136994,4.27833542568799,-0.130188910980824,-0.150971123450512,1.97460601166499,-0.925326015471608,0,0,0,0,0,0,0,"none",0,0,"none",1.42940374509168
